#UPS-spectrum

#Date/time: 	2018-03-26__18-49-40


#AK pressure: 	8,71E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


21,078	000211	-21,188	-20,225	-21,865	14,890	211	05
21,034	000211	-21,169	-20,209	-21,847	14,865	211	05
21,015	000236	-21,150	-20,191	-21,828	14,865	236	05
20,997	000213	-21,131	-20,172	-21,810	14,866	213	05
20,974	000237	-21,113	-20,154	-21,791	14,861	237	05
20,955	000213	-21,088	-20,128	-21,766	14,867	213	05
20,927	000244	-21,070	-20,111	-21,747	14,858	244	05
20,907	000219	-21,051	-20,092	-21,729	14,856	219	05
20,815	000246	-21,033	-20,074	-21,702	14,783	246	05
20,874	000233	-21,014	-20,055	-21,692	14,860	233	05
20,866	000213	-20,996	-20,036	-21,674	14,870	213	05
20,832	000244	-20,971	-20,012	-21,649	14,861	244	05
20,818	000250	-20,953	-19,993	-21,631	14,865	250	05
20,793	000237	-20,934	-19,974	-21,612	14,859	237	05
20,782	000252	-20,916	-19,956	-21,593	14,866	252	05
20,763	000240	-20,896	-19,937	-21,575	14,867	240	05
20,668	000247	-20,878	-19,918	-21,548	14,790	247	05
20,726	000206	-20,854	-19,893	-21,532	14,872	206	05
20,703	000233	-20,835	-19,875	-21,513	14,868	233	05
20,691	000213	-20,817	-19,856	-21,495	14,874	213	05
20,666	000244	-20,798	-19,838	-21,476	14,868	244	05
20,650	000251	-20,780	-19,819	-21,458	14,870	251	05
20,634	000214	-20,761	-19,800	-21,439	14,873	214	05
20,608	000246	-20,736	-19,776	-21,414	14,872	246	05
20,636	000243	-20,718	-19,752	-21,395	14,918	243	05
20,570	000221	-20,700	-19,739	-21,377	14,870	221	05
20,548	000213	-20,681	-19,720	-21,358	14,867	213	05
20,542	000209	-20,663	-19,701	-21,340	14,880	209	05
20,511	000212	-20,644	-19,683	-21,321	14,868	212	05
20,493	000214	-20,619	-19,657	-21,296	14,874	214	05
20,474	000213	-20,600	-19,639	-21,278	14,874	213	05
20,453	000207	-20,581	-19,621	-21,259	14,872	207	05
20,438	000210	-20,563	-19,601	-21,240	14,876	210	05
20,471	000213	-20,544	-19,577	-21,222	14,927	213	05
20,404	000212	-20,525	-19,564	-21,203	14,878	212	05
20,376	000211	-20,500	-19,539	-21,178	14,875	211	05
20,357	000212	-20,482	-19,520	-21,159	14,876	212	05
20,339	000222	-20,463	-19,501	-21,140	14,876	222	05
20,322	000212	-20,444	-19,483	-21,122	14,878	212	05
20,304	000209	-20,426	-19,464	-21,103	14,878	209	05
20,282	000206	-20,407	-19,445	-21,084	14,876	206	05
20,267	000206	-20,388	-19,426	-21,065	14,879	206	05
20,295	000205	-20,363	-19,395	-21,040	14,932	205	05
20,226	000208	-20,345	-19,382	-21,022	14,881	208	05
20,212	000212	-20,325	-19,363	-21,004	14,887	212	05
20,186	000212	-20,307	-19,344	-20,984	14,879	212	05
20,175	000213	-20,287	-19,326	-20,966	14,888	213	05
